"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Stundenmittelwerte über 200 µg/m³*"
Niedersachsen;DENI048;"Hannover Verkehr";"städtisches Gebiet";Verkehr;32;0
Niedersachsen;DENI066;"Hildesheim Verkehr";"städtisches Gebiet";Verkehr;30;0
Niedersachsen;DENI067;Osnabrück-Verkehr;"städtisches Gebiet";Verkehr;31;0
Niedersachsen;DENI068;Göttingen-Verkehr;"städtisches Gebiet";Verkehr;25;0
Niedersachsen;DENI074;Hameln-Verkehr;"städtisches Gebiet";Verkehr;32;
Niedersachsen;DENI075;Braunschweig-Verkehr;"städtisches Gebiet";Verkehr;25;0
Niedersachsen;DENI143;"Oldenburg Heiligengeistwall";"städtisches Gebiet";Verkehr;29;0
Niedersachsen;DENI146;"Osnabrück Neuer Graben";"städtisches Gebiet";Verkehr;38;
Niedersachsen;DENI149;"Hannover Bornumer Straße";"städtisches Gebiet";Verkehr;33;
Niedersachsen;DENI150;"Hannover Friedrich-Ebert-Straße";"städtisches Gebiet";Verkehr;36;
Niedersachsen;DENI152;"Hannover Marienstraße";"städtisches Gebiet";Verkehr;33;
Niedersachsen;DENI153;"Hannover Vahrenwalder Straße";"städtisches Gebiet";Verkehr;30;
Niedersachsen;DENI157;"Wolfsburg Heßlinger Straße";"städtisches Gebiet";Verkehr;23;0
Nordrhein-Westfalen;DENW043;"Essen-Ost Steeler Straße";"städtisches Gebiet";Verkehr;26;0
Nordrhein-Westfalen;DENW082;"Düsseldorf Corneliusstraße";"städtisches Gebiet";Verkehr;38;0
Nordrhein-Westfalen;DENW112;"Duisburg Kardinal-Galen-Straße";"städtisches Gebiet";Verkehr;28;0
Nordrhein-Westfalen;DENW133;"Hagen Graf-von-Galen-Ring";"städtisches Gebiet";Verkehr;39;0
Nordrhein-Westfalen;DENW134;"Essen Gladbecker Straße";"städtisches Gebiet";Verkehr;32;0
Nordrhein-Westfalen;DENW136;"Dortmund Brackeler Straße";"städtisches Gebiet";Verkehr;35;0
Nordrhein-Westfalen;DENW148;"Köln Justinianstraße";"städtisches Gebiet";Verkehr;34;
Nordrhein-Westfalen;DENW151;"Köln Neumarkt";"städtisches Gebiet";Verkehr;32;
Nordrhein-Westfalen;DENW157;"Paderborn Bahnhofstraße";"städtisches Gebiet";Verkehr;34;
Nordrhein-Westfalen;DENW158;"Paderborn Friedrichstraße 29";"städtisches Gebiet";Verkehr;34;
